상가업소번호	상호명	상권업종대분류명	상권업종중분류명	상권업종소분류명	지번주소	도로명	구우편번호	신우편번호	경도	위도
15987181	큰집닭강정도봉점	음식	닭/오리요리	후라이드/양념치킨	서울특별시 도봉구 도봉동 568-29	서울특별시 도봉구 도봉산1길	132815	1303	127.0452319	37.68417707
15987364	영구스피자	음식	패스트푸드	피자전문	서울특별시 노원구 월계동 37-15	서울특별시 노원구 화랑로45길	139051	1914	127.0656313	37.61608706
15961265	파리바게뜨카페대학로점	음식	제과제빵떡케익	제과점	서울특별시 종로구 명륜4가 58	서울특별시 종로구 대명길	110530	3078	126.9998334	37.5829842
15960892	"좋아해,커피"	음식	커피점/카페	커피전문점/카페/다방	서울특별시 노원구 상계동 1128	서울특별시 노원구 동일로246길	139741	1626	127.0571695	37.67707389
15979171	티테디오스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강서구 화곡동 1059-28	서울특별시 강서구 화곡로31길	157873	7696	126.8421737	37.54425833
15960343	카페루루	음식	커피점/카페	커피전문점/카페/다방	서울특별시 동작구 노량진동 56-14	서울특별시 동작구 장승배기로28길	156800	6922	126.9413227	37.51244498
15960347	예스커피	음식	커피점/카페	커피전문점/카페/다방	서울특별시 서대문구 홍은동 8-117	서울특별시 서대문구 홍은중앙로	120841	3601	126.9493342	37.60170152
15960464	앤티앤스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 성북구 하월곡동 230	서울특별시 성북구 종암로	136735	2734	127.0309775	37.60504918
15987235	스타벅스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 성동구 성수동1가 14-33	서울특별시 성동구 아차산로	133822	4779	127.0490964	37.54643942
15987226	맘쓰롤	음식	분식	라면김밥분식	서울특별시 강남구 신사동 574-8	서울특별시 강남구 논현로175길	135891	6030	127.0253042	37.52506175
15900213	피자헛청담사거리	음식	패스트푸드	피자전문	서울특별시 강남구 청담동 5-25	서울특별시 강남구 도산대로	135948	6062	127.0460365	37.52369023
15900124	파리바게트가산디지털	음식	제과제빵떡케익	제과점	서울특별시 금천구 가산동 371-28	서울특별시 금천구 가산디지털1로	153786	8507	126.882626	37.47995323
15986066	흑떡	음식	분식	라면김밥분식	서울특별시 마포구 서교동 403-6	서울특별시 마포구 어울마당로	121895	4048	126.9206748	37.54966938
15986265	로니브레드	음식	제과제빵떡케익	제과점	서울특별시 강동구 암사동 463-25	서울특별시 강동구 고덕로8길	134857	5251	127.1291037	37.55239086
15985180	WETRUSTCOFFEE	음식	커피점/카페	커피전문점/카페/다방	서울특별시 중구 서소문동 34	서울특별시 중구 서소문로	100813	4515	126.9749289	37.56368652
15985830	하서랑만두국수	음식	분식	국수/만두/칼국수	서울특별시 강서구 화곡동 344-8	서울특별시 강서구 곰달래로	157881	7773	126.8444789	37.53054012
15988371	쁘띠그랑	음식	제과제빵떡케익	제과점	서울특별시 성동구 성수동1가 656-1017	서울특별시 성동구 왕십리로8길	133924	4778	127.0471435	37.54605424
15987960	루이14세	음식	커피점/카페	커피전문점/카페/다방	서울특별시 동작구 노량진동 207-5	서울특별시 동작구 만양로14길	156802	6914	126.9457187	37.51193466
15988103	티하우스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 중구 흥인동 13-1	서울특별시 중구 다산로46길	100955	4570	127.0171078	37.56685647
15988252	별난만두	음식	분식	국수/만두/칼국수	서울특별시 동작구 신대방동 708	서울특별시 동작구 보라매로3길	156855	7071	126.9248303	37.49118447
15961365	그린5	음식	패스트푸드	패스트푸드	서울특별시 강동구 천호동 455-8	서울특별시 강동구 천호대로	134779	5328	127.1244181	37.5388494
15979796	한끼김밥	음식	분식	라면김밥분식	서울특별시 양천구 목동 404-78	서울특별시 양천구 신목로	158806	8007	126.8760412	37.52325799
15979369	한스제과공덕점	음식	커피점/카페	커피전문점/카페/다방	서울특별시 마포구 신공덕동 171	서울특별시 마포구 백범로	121802	4196	126.9524467	37.5428373
15956733	CafeHUB	음식	커피점/카페	커피전문점/카페/다방	서울특별시 서초구 반포동 48-1	서울특별시 서초구 고무래로10길	137802	6593	127.0094575	37.5008538
15956760	고&참김밥	음식	분식	라면김밥분식	서울특별시 은평구 대조동 185-73	서울특별시 은평구 연서로28길	122842	3385	126.9210695	37.61801646
15953584	제이준코피자	음식	패스트푸드	피자전문	서울특별시 서대문구 홍제동 214-1	서울특별시 서대문구 세무서2길	120856	3630	126.9462662	37.58878036
15960412	플라스크	음식	커피점/카페	커피전문점/카페/다방	서울특별시 관악구 봉천동 947-3	서울특별시 관악구 남부순환로200길	151820	8782	126.9379336	37.48340078
15960330	커피에반하다	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강서구 화곡동 1165	서울특별시 강서구 우현로	157015	7694	126.8375166	37.54757342
15960335	브레댄코율현점	음식	제과제빵떡케익	제과점	서울특별시 강남구 율현동 71-3	서울특별시 강남구 밤고개로21길	135190	6370	127.1138669	37.47421878
15980516	고가네칼국수	음식	분식	국수/만두/칼국수	서울특별시 성동구 금호동4가 800	서울특별시 성동구 독서당로	133781	4738	127.0179112	37.54531915
15989399	커피앤스페이스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 영등포구 문래동5가 10	서울특별시 영등포구 선유로3길	150095	7285	126.8868053	37.51603447
15990135	할리스커피	음식	커피점/카페	커피전문점/카페/다방	서울특별시 서대문구 남가좌동 343-3	서울특별시 서대문구 거북골로	120807	3665	126.923376	37.57902282
15959119	스무디팅	음식	커피점/카페	커피전문점/카페/다방	서울특별시 서초구 방배동 444-3	서울특별시 서초구 방배천로	137818	6693	126.9822214	37.47769047
15984903	폴바셋	음식	커피점/카페	커피전문점/카페/다방	서울특별시 중구 명동1가 59-1	서울특별시 중구 명동7길	100021	4534	126.9839527	37.5643412
15984941	앤티앤스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강서구 등촌동 639-11	서울특별시 강서구 화곡로	157840	7567	126.8548002	37.55845562
15987994	만랩커피문정	음식	커피점/카페	커피전문점/카페/다방	서울특별시 송파구 문정동 645	서울특별시 송파구 법원로11길	138888	5836	127.1162166	37.48494102
15987995	토스카	음식	패스트푸드	패스트푸드	서울특별시 광진구 중곡동 221-2	서울특별시 광진구 능동로49길	143903	4909	127.0823729	37.56443538
15988146	아프리카	음식	커피점/카페	커피전문점/카페/다방	서울특별시 동작구 사당동 1008-5	서울특별시 동작구 사당로30길	156824	7014	126.9809752	37.48204083
15988182	코즈모갤러리서초	음식	커피점/카페	커피전문점/카페/다방	서울특별시 서초구 서초동 1498-5	서울특별시 서초구 서초대로38길	137870	6655	127.0051933	37.49065408
15979898	J&J로스팅샵	음식	커피점/카페	커피전문점/카페/다방	서울특별시 은평구 구산동 24-71	서울특별시 은평구 연서로11길	122820	3414	126.9129841	37.60851749
15956580	뚜레쥬르카페대치점	음식	제과제빵떡케익	제과점	서울특별시 강남구 대치동 1021-1	서울특별시 강남구 도곡로	135500	6279	127.0593574	37.49802689
15956799	오혜	음식	커피점/카페	커피전문점/카페/다방	서울특별시 은평구 갈현동 12-335	서울특별시 은평구 갈현로45길	122800	3313	126.9152326	37.62837883
